=== Pipeline Inference Summary (TOP100 per Market) ===
Date: 2026-07-28 00:46
Total symbols analyzed: 898
Showing: Top 100 per market | Horizons: 1d, 5d, 20d, 60d
Full data: pipeline_result.csv / pipeline_result.jsonl

============================================================
Horizon: 1d

--- KOSPI TOP 100 ---
  62. 008490 (서흥): +12.79%
  63. 000180 (성창기업지주): +12.72%
  64. 069620 (대웅제약): +12.64%
  65. 475150 (SK이터닉스): +12.63%
  66. 001530 (DI동일): +12.54%
  67. 268280 (미원에스씨): +12.38%
  68. 194370 (제이에스코퍼레이션): +12.23%
  69. 028100 (동아지질): +12.10%
  70. 294870 (IPARK현대산업개발): +11.99%
  71. 002630 (오리엔트바이오): +11.94%
  72. 003350 (한국화장품제조): +11.83%
  73. 024720 (콜마홀딩스): +11.66%
  74. 082640 (동양생명): +11.61%
  75. 316140 (우리금융지주): +11.59%
  76. 006660 (삼성공조): +11.55%
  77. 000700 (유수홀딩스): +11.42%
  78. 007570 (일양약품): +11.36%
  79. 000520 (삼일제약): +11.35%
  80. 086280 (현대글로비스): +11.31%
  81. 306200 (세아제강): +11.25%
  82. 006840 (AK홀딩스): +11.22%
  83. 010950 (S-Oil): +11.19%
  84. 009540 (HD한국조선해양): +11.15%
  85. 001450 (현대해상): +11.15%
  86. 000680 (LS네트웍스): +11.08%
  87. 439260 (대한조선): +11.04%
  88. 100090 (SK오션플랜트): +11.02%
  89. 001070 (대한방직): +10.99%
  90. 170900 (동아에스티): +10.93%
  91. 37550K (DL이앤씨우): +10.93%
  92. 023590 (다우기술): +10.91%
  93. 036460 (한국가스공사): +10.91%
  94. 271940 (일진하이솔루스): +10.80%
  95. 003240 (태광산업): +10.60%
  96. 096770 (SK이노베이션): +10.41%
  97. 004370 (농심): +10.40%
  98. 005830 (DB손해보험): +10.32%
  99. 460860 (동국제강): +10.32%
  100. 015260 (에이엔피): +10.18%

